draw_date,draw_number,ball_1,ball_2,ball_3,ball_4,ball_5,lucky_star_1,lucky_star_2,uk_millionaire_maker,euro_millionaire_maker,ball_set,machine,sum_balls,odd_even,updated
2004-02-13,1,32,16,29,41,36,9,7,,,,,154,2-3,
2004-02-20,2,13,50,47,7,39,2,5,,,,,156,4-1,
2004-02-27,3,37,19,18,14,31,5,4,,,,,119,3-2,
2004-03-05,4,39,37,4,7,33,5,1,,,,,120,4-1,
2004-03-12,5,44,47,15,28,24,4,5,,,,,158,2-3,
2004-03-19,6,42,45,33,37,36,9,4,,,,,193,3-2,
2004-03-26,7,23,43,3,4,10,2,4,,,,,83,3-2,
2004-04-02,8,4,24,12,36,27,2,9,,,,,103,1-4,
2004-04-09,9,23,19,10,1,4,2,8,,,,,57,3-2,
2004-04-16,10,28,40,14,15,35,3,1,,,,,132,2-3,
2004-04-23,11,45,21,6,49,10,5,3,,,,,131,3-2,
2004-04-30,12,27,16,6,5,23,7,6,,,,,77,3-2,
2004-05-07,13,38,36,15,16,21,1,5,,,,,126,2-3,
2004-05-14,14,32,3,1,39,21,2,6,,,,,96,4-1,
2004-05-21,15,37,39,29,15,49,4,9,,,,,169,5-0,
2004-05-28,16,41,44,6,35,11,6,5,,,,,137,3-2,
2004-06-04,17,41,42,34,13,9,7,3,,,,,139,3-2,
2004-06-11,18,7,2,47,10,8,1,7,,,,,74,2-3,
2004-06-18,19,28,2,40,23,43,6,2,,,,,136,2-3,
2004-06-25,20,30,21,35,3,34,1,2,,,,,123,3-2,
2004-07-02,21,4,28,24,23,34,1,3,,,,,113,1-4,
2004-07-09,22,44,19,5,12,2,8,9,,,,,82,2-3,
2004-07-16,23,26,50,31,24,38,8,5,,,,,169,1-4,
2004-07-23,24,10,27,7,34,31,8,3,,,,,109,3-2,
2004-07-30,25,50,10,9,19,37,6,1,,,,,125,3-2,
2004-08-06,26,5,35,44,15,24,6,5,,,,,123,3-2,
2004-08-13,27,20,27,41,43,50,5,8,,,,,181,3-2,
2004-08-20,28,27,10,35,9,6,6,8,,,,,87,3-2,
2004-08-27,29,28,1,44,22,11,1,9,,,,,106,2-3,
2004-09-03,30,14,12,15,34,8,7,6,,,,,83,1-4,
2004-09-10,31,5,38,36,25,33,5,2,,,,,137,3-2,
2004-09-17,32,41,39,15,18,29,8,5,,,,,142,4-1,
2004-09-24,33,48,21,26,27,44,1,7,,,,,166,2-3,
2004-10-01,34,48,20,45,21,12,6,5,,,,,146,2-3,
2004-10-08,35,12,10,48,1,16,2,6,,,,,87,1-4,
2004-10-15,36,37,21,14,43,22,5,8,,,,,137,3-2,
2004-10-22,37,9,25,1,40,23,3,9,,,,,98,4-1,
2004-10-29,38,32,1,38,35,8,9,4,,,,,114,2-3,
2004-11-05,39,25,42,49,19,6,1,7,,,,,141,3-2,
2004-11-12,40,12,13,4,32,11,9,3,,,,,72,2-3,
2004-11-19,41,37,29,34,18,1,6,2,,,,,119,3-2,
2004-11-26,42,24,1,34,4,36,8,6,,,,,99,1-4,
2004-12-03,43,15,42,11,1,49,4,3,,,,,118,4-1,
2004-12-10,44,3,13,43,1,16,7,2,,,,,76,4-1,
2004-12-17,45,49,22,19,15,46,9,2,,,,,151,3-2,
2004-12-24,46,3,27,29,4,37,6,5,,,,,100,4-1,
2004-12-31,47,8,7,47,25,24,8,9,,,,,111,3-2,
2005-01-07,48,50,27,47,3,23,3,2,,,,,150,4-1,
2005-01-14,49,11,14,29,6,19,3,1,,,,,79,3-2,
2005-01-21,50,12,14,10,26,24,8,5,,,,,86,0-5,
2005-01-28,51,26,21,7,43,45,5,7,,,,,142,4-1,
2005-02-04,52,11,1,40,30,8,7,8,,,,,90,2-3,
2005-02-11,53,11,13,25,32,50,7,4,,,,,131,3-2,
2005-02-18,54,32,46,20,21,26,8,9,,,,,145,1-4,
2005-02-25,55,43,3,27,44,30,8,4,,,,,147,3-2,
2005-03-04,56,12,32,37,39,24,7,9,,,,,144,2-3,
2005-03-11,57,40,12,43,23,8,1,4,,,,,126,2-3,
2005-03-18,58,48,39,23,6,43,5,7,,,,,159,3-2,
2005-03-25,59,4,29,33,37,38,6,9,,,,,141,3-2,
2005-04-01,60,26,44,47,25,41,3,7,,,,,183,3-2,
2005-04-08,61,31,50,25,11,7,3,1,,,,,124,4-1,
2005-04-15,62,6,31,42,38,28,9,3,,,,,145,1-4,
2005-04-22,63,13,10,24,47,3,9,5,,,,,97,3-2,
2005-04-29,64,42,35,9,3,39,1,8,,,,,128,4-1,
2005-05-06,65,44,21,12,7,26,6,8,,,,,110,2-3,
2005-05-13,66,12,40,31,17,32,9,2,,,,,132,2-3,
2005-05-20,67,28,6,47,7,13,8,5,,,,,101,3-2,
