draw_date,weekday,n1,n2,n3,n4,n5,n6,jolly,superstar,source,draw_number,jackpot
2015-01-03,Sabato,14,26,31,40,58,68,76,45,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-05,Lunedì,16,37,48,68,84,90,11,12,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-07,Mercoledì,9,16,19,26,28,46,71,16,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-08,Giovedì,6,9,29,41,50,90,13,32,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-10,Sabato,2,13,22,37,48,90,8,78,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-13,Martedì,9,10,36,67,76,83,72,76,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-15,Giovedì,2,5,7,12,23,42,9,9,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-17,Sabato,18,22,31,54,71,80,52,43,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-20,Martedì,2,11,15,39,84,87,52,1,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-22,Giovedì,11,12,44,57,77,89,76,41,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-24,Sabato,22,23,24,59,63,81,44,82,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-27,Martedì,5,10,47,59,66,73,53,21,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-29,Giovedì,27,29,58,64,67,80,54,73,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-01-31,Sabato,8,44,54,58,59,86,73,50,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-02-03,Martedì,12,29,43,56,60,75,10,59,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-02-05,Giovedì,7,8,10,45,49,53,20,49,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-02-07,Sabato,24,27,38,40,56,81,66,3,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-02-10,Martedì,30,59,72,74,77,78,9,27,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-02-12,Giovedì,25,32,44,56,77,87,28,44,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-02-14,Sabato,13,31,32,57,60,79,90,10,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-02-17,Martedì,20,27,40,60,61,66,11,69,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-02-19,Giovedì,23,35,44,49,66,84,2,75,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-02-21,Sabato,5,16,33,48,57,87,79,5,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-02-24,Martedì,6,29,56,72,82,83,76,24,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-02-26,Giovedì,17,41,44,57,73,86,24,68,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-02-28,Sabato,5,10,34,48,56,87,23,40,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-03,Martedì,16,26,48,61,63,87,81,17,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-05,Giovedì,35,44,62,74,82,90,68,19,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-07,Sabato,26,36,56,68,73,81,62,5,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-10,Martedì,9,19,68,70,71,81,39,37,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-12,Giovedì,7,36,38,63,73,90,78,67,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-14,Sabato,28,30,39,46,68,89,5,3,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-17,Martedì,10,13,21,36,66,69,73,46,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-19,Giovedì,5,7,20,38,57,85,23,8,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-21,Sabato,4,7,9,19,55,58,83,40,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-24,Martedì,8,17,29,32,65,90,81,37,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-26,Giovedì,10,21,40,46,79,84,35,62,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-28,Sabato,5,22,60,71,74,81,88,31,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-03-31,Martedì,3,15,23,33,46,78,54,5,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-02,Giovedì,33,36,61,66,83,85,20,81,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-04,Sabato,11,38,44,48,56,83,28,90,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-07,Martedì,4,18,20,68,72,77,21,41,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-09,Giovedì,7,25,30,44,47,68,53,4,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-11,Sabato,26,54,55,73,86,90,3,19,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-14,Martedì,36,45,56,79,81,90,52,44,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-16,Giovedì,37,38,43,69,79,86,72,53,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-18,Sabato,10,11,18,36,47,85,48,6,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-21,Martedì,4,17,52,59,67,84,88,13,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-23,Giovedì,8,13,27,34,47,83,6,22,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-27,Lunedì,8,26,39,56,78,85,49,3,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-28,Martedì,10,41,59,61,65,71,8,37,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-04-30,Giovedì,18,28,31,33,55,78,81,8,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-02,Sabato,6,34,45,46,59,73,35,56,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-05,Martedì,7,31,33,78,86,87,72,88,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-07,Giovedì,12,32,43,46,58,77,18,1,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-09,Sabato,31,40,52,55,62,76,17,44,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-12,Martedì,10,19,48,78,85,90,22,42,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-14,Giovedì,19,25,42,51,55,56,24,75,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-16,Sabato,3,32,39,65,75,76,51,57,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-19,Martedì,6,20,43,44,46,67,85,52,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-21,Giovedì,17,21,23,51,65,87,53,48,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-23,Sabato,4,24,29,31,39,71,19,14,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-26,Martedì,6,9,21,69,77,78,90,80,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-28,Giovedì,6,33,57,61,80,83,53,18,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-05-30,Sabato,13,33,39,56,65,86,52,75,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-03,Mercoledì,3,28,37,42,67,86,1,79,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-04,Giovedì,14,17,23,45,87,88,46,14,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-06,Sabato,16,24,34,40,41,57,13,89,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-09,Martedì,15,21,58,80,82,86,49,64,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-11,Giovedì,26,48,52,61,75,79,82,73,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-13,Sabato,19,35,36,38,45,80,17,5,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-16,Martedì,6,28,55,57,78,83,67,16,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-18,Giovedì,18,21,28,62,84,90,41,48,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-20,Sabato,6,11,21,65,66,85,23,18,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-23,Martedì,20,24,26,33,42,80,29,34,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-25,Giovedì,18,46,63,68,73,79,28,59,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-27,Sabato,17,22,45,48,53,61,26,65,xls:it-superenalotto-past-draws-archive (11).xls,,
2015-06-30,Martedì,4,11,16,25,34,59,75,84,xls:it-superenalotto-past-draws-archive (11).xls,,
